Title,Abstract,PMCID,PMID,Similarity_Score
role of machine learning techniques to tackle the covid19 crisis systematic review,background sarscov2 the novel coronavirus responsible for covid19 has caused havoc worldwide with patients presenting a spectrum of complications that have pushed health care experts to explore new technological solutions and treatment plans artificial intelligence aibased technologies have played a substantial role in solving complex problems and several organizations have been swift to adopt and customize these technologies in response to the challenges posed by the covid19 pandemic objective the objective of this study was to conduct a systematic review of the literature on the role of ai as a comprehensive and decisive technology to fight the covid19 crisis in the fields of epidemiology diagnosis and disease progression methods a systematic search of pubmed web of science and cinahl databases was performed according to prisma preferred reporting items for systematic reviews and metaanalysis guidelines to identify all potentially relevant studies published and made available online between december 1 2019 and june 27 2020 the search syntax was built using keywords specific to covid19 and ai results the search strategy resulted in 419 articles published and made available online during the aforementioned period of these 130 publications were selected for further analyses these publications were classified into 3 themes based on ai applications employed to combat the covid19 crisis computational epidemiology early detection and diagnosis and disease progression of the 130 studies 71 546 focused on predicting the covid19 outbreak the impact of containment policies and potential drug discoveries which were classified under the computational epidemiology theme next 40 of 130 308 studies that applied ai techniques to detect covid19 by using patients radiological images or laboratory test results were classified under the early detection and diagnosis theme finally 19 of the 130 studies 146 that focused on predicting disease progression outcomes ie recovery and mortality length of hospital stay and number of days spent in the intensive care unit for patients with covid19 were classified under the disease progression theme conclusions in this systematic review we assembled studies in the current covid19 literature that utilized aibased methods to provide insights into different covid19 themes our findings highlight important variables data types and available covid19 resources that can assist in facilitating clinical and translational research,PMC7806275,33326405,0.738433837890625
applications of artificial intelligence in battling against covid19 a literature review,colloquially known as coronavirus the severe acute respiratory syndrome coronavirus 2 sarscov2 that causes coronavirus disease 2019 covid19 has become a matter of grave concern for every country around the world the rapid growth of the pandemic has wreaked havoc and prompted the need for immediate reactions to curb the effects to manage the problems many research in a variety of area of science have started studying the issue artificial intelligence is among the area of science that has found great applications in tackling the problem in many aspects here we perform an overview on the applications of ai in a variety of fields including diagnosis of the disease via different types of tests and symptoms monitoring patients identifying severity of a patient processing covid19 related imaging tests epidemiology pharmaceutical studies etc the aim of this paper is to perform a comprehensive survey on the applications of ai in battling against the difficulties the outbreak has caused thus we cover every way that ai approaches have been employed and to cover all the research until the writing of this paper we try organize the works in a way that overall picture is comprehensible such a picture although full of details is very helpful in understand where ai sits in current pandemonium we also tried to conclude the paper with ideas on how the problems can be tackled in a better way and provide some suggestions for future works,PMC7532790,33041533,0.7351226806640625
exploring the potential of artificial intelligence and machine learning to combat covid19 and existing opportunities for lmic a scoping review,background in the face of the current timesensitive covid19 pandemic the limited capacity of healthcare systems resulted in an emerging need to develop newer methods to control the spread of the pandemic artificial intelligence ai and machine learning ml have a vast potential to exponentially optimize health care research the use of aidriven tools in lmic can help in eradicating health inequalities and decrease the burden on health systems methods the literature search for this scoping review was conducted through the pubmed database using keywords covid19 artificial intelligence ai machine learning ml and low middleincome countries lmic fortythree articles were identified and screened for eligibility and 13 were included in the final review all the items of this scoping review are reported using guidelines for prisma extension for scoping reviews prismascr results results were synthesized and reported under 4 themes a the need of ai during this pandemic ai can assist to increase the speed and accuracy of identification of cases and through data mining to deal with the health crisis efficiently b utility of ai in covid19 screening contact tracing and diagnosis efficacy for virus detection can a be increased by deploying the smart city data network using terminal tracking system alongwith prediction of future outbreaks c use of ai in covid19 patient monitoring and drug development a deep learning system provides valuable information regarding protein structures associated with covid19 which could be utilized for vaccine formulation and d ai beyond covid19 and opportunities for lowmiddle income countries lmic there is a lack of financial material and human resources in lmic ai can minimize the workload on human labor and help in analyzing vast medical data potentiating predictive and preventive healthcare conclusion aibased tools can be a gamechanger for diagnosis treatment and management of covid19 patients with the potential to reshape the future of healthcare in lmic,PMC7533955,32996368,0.7085193395614624
dynamics and development of the covid19 epidemic in the united states a compartmental model enhanced with deep learning techniques,background compartmental models dominate epidemic modeling transmission parameters between compartments are typically estimated through stochastic parameterization processes that depends on detailed statistics of transmission characteristics which are economically and resourcewise expensive to collect objective we aim to apply deep learning techniques as a lower data dependency alternative to estimate transmission parameters of a customized compartmental model for the purpose of simulating the dynamics of the us coronavirus disease covid19 epidemic and projecting its further development methods we constructed a compartmental model and developed a multistep deep learning methodology to estimate the models transmission parameters we then fed the estimated transmission parameters to the model to predict development of the us covid19 epidemic for 35 and 42 days epidemics are considered suppressed when the basic reproduction number rsub0sub is less than 1 results the deep learningenhanced compartmental model predicts that rsub0sub will fall to lt1 around august 1719 2020 at which point the epidemic will effectively start to die out and that the us infected population will peak around august 1618 2020 at 3228574 to 3308911 individual cases the model also predicted that the number of accumulative confirmed cases will cross the 5 million mark around august 7 2020 conclusions current compartmental models require stochastic parameterization to estimate the transmission parameters these models effectiveness depends upon detailed statistics on transmission characteristics as an alternative deep learning techniques are effective in estimating these stochastic parameters with greatly reduced dependency on data particularity,PMC7451112,32763892,0.7011784315109253
mathematical models and deep learning for predicting the number of individuals reported to be infected with sarscov2,we introduce a novel methodology for predicting the time evolution of the number of individuals in a given country reported to be infected with sarscov2 this methodology which is based on the synergy of explicit mathematical formulae and deep learning networks yields algorithms whose input is only the existing data in the given country of the accumulative number of individuals who are reported to be infected the analytical formulae involve several constant parameters that were determined from the available data using an errorminimizing algorithm the same data were also used for the training of a bidirectional long shortterm memory network we applied the above methodology to the epidemics in italy spain france germany usa and sweden the significance of these results for evaluating the impact of easing the lockdown measures is discussed,PMC7482569,32752997,0.7034391164779663
machine learning in epidemiology and health outcomes research,machine learning approaches to modeling of epidemiologic data are becoming increasingly more prevalent in the literature these methods have the potential to improve our understanding of health and opportunities for intervention far beyond our past capabilities this article provides a walkthrough for creating supervised machine learning models with current examples from the literature from identifying an appropriate sample and selecting features through training testing and assessing performance the endtoend approach to machine learning can be a daunting task we take the reader through each step in the process and discuss novel concepts in the area of machine learning including identifying treatment effects and explaining the output from machine learning models,,31577910,0.713180661201477
deep learning for supervised classification of spatial epidemics,in an emerging epidemic public health officials must move quickly to contain the spread information obtained from statistical disease transmission models often informs the development of containment strategies inference procedures such as bayesian markov chain monte carlo allow researchers to estimate parameters of such models but are computationally expensive in this work we explore supervised statistical and machine learning methods for fast inference via supervised classification with a focus on deep learning we apply our methods to simulated epidemics through two populations of swine farms in iowa and find that the random forest performs well on the denser population but is outperformed by a deep learning model on the sparser population,,31128628,0.7063860893249512
monitoring covid19 on social media development of an endtoend natural language processing pipeline using a novel triage and diagnosis approach,background the covid19 pandemic has created a pressing need for integrating information from disparate sources in order to assist decision makers social media is important in this respect however to make sense of the textual information it provides and be able to automate the processing of large amounts of data natural language processing methods are needed social media posts are often noisy yet they may provide valuable insights regarding the severity and prevalence of the disease in the population here we adopt a triage and diagnosis approach to analyzing social media posts using machine learning techniques for the purpose of disease detection and surveillance we thus obtain useful prevalence and incidence statistics to identify disease symptoms and their severities motivated by public health concerns objective this study aims to develop an endtoend natural language processing pipeline for triage and diagnosis of covid19 from patientauthored social media posts in order to provide researchers and public health practitioners with additional information on the symptoms severity and prevalence of the disease rather than to provide an actionable decision at the individual level methods the text processing pipeline first extracted covid19 symptoms and related concepts such as severity duration negations and body parts from patients posts using conditional random fields an unsupervised rulebased algorithm was then applied to establish relations between concepts in the next step of the pipeline the extracted concepts and relations were subsequently used to construct 2 different vector representations of each post these vectors were separately applied to build support vector machine learning models to triage patients into 3 categories and diagnose them for covid19 results we reported macro and microaveraged fsub1sub scores in the range of 7196 and 6187 respectively for the triage and diagnosis of covid19 when the models were trained on humanlabeled data our experimental results indicated that similar performance can be achieved when the models are trained using predicted labels from concept extraction and rulebased classifiers thus yielding endtoend machine learning in addition we highlighted important features uncovered by our diagnostic machine learning models and compared them with the most frequent symptoms revealed in another covid19 data set in particular we found that the most important features are not always the most frequent ones conclusions our preliminary results show that it is possible to automatically triage and diagnose patients for covid19 from social media natural language narratives using a machine learning pipeline in order to provide information on the severity and prevalence of the disease for use within health surveillance systems,PMC8887561,35142636,0.703590989112854
artificial intelligence for surveillance in public health,objectives to introduce and summarize current research in the field of public health and epidemiology informatics methods the 2018 literature concerning public health and epidemiology informatics was searched in pubmed and web of science and the returned references were reviewed by the two section editors to select 15 candidate best papers these papers were then peerreviewed by external reviewers to give the editorial team an enlightened selection of the best papers results among the 805 references retrieved from pubmed and web of science three were finally selected as best papers all three papers are about surveillance using digital tools one study is about the surveillance of flu another about emerging animal infectious diseases and the last one is about foodborne illness the sources of information are google news twitter and yelp restaurant reviews machine learning approaches are most often used to detect signals conclusions surveillance is a central topic in public health informatics with the growing use of machine learning approaches in regards of the size and complexity of data the evaluation of the approaches developed remains a serious challenge,PMC6697516,31419837,0.7299836874008179
neural network models for influenza forecasting with associated uncertainty using web search activity trends,influenza affects millions of people every year it causes a considerable amount of medical visits and hospitalisations as well as hundreds of thousands of deaths forecasting influenza prevalence with good accuracy can significantly help public health agencies to timely react to seasonal or novel strain epidemics although significant progress has been made influenza forecasting remains a challenging modelling task in this paper we propose a methodological framework that improves over the stateoftheart forecasting accuracy of influenzalike illness ili rates in the united states we achieve this by using web search activity time series in conjunction with historical ili rates as observations for training neural network nn architectures the proposed models incorporate bayesian layers to produce associated uncertainty intervals to their forecast estimates positioning themselves as legitimate complementary solutions to more conventional approaches the best performing nn referred to as the iterative recurrent neural network irnn architecture reduces mean absolute error by 103 and improves skill by 171 on average in nowcasting and forecasting tasks across 4 consecutive flu seasons,PMC10491400,37639427,0.71305912733078
from policy to prediction forecasting covid19 dynamics under imperfect vaccination,understanding the joint impact of vaccination and nonpharmaceutical interventions on covid19 development is important for making public health decisions that control the pandemic recently we created a method in forecasting the daily number of confirmed cases of infectious diseases by combining a mechanistic ordinary differential equation ode model for infectious classes and a generalized boosting machine learning model gbm for predicting how public health policies and mobility data affect the transmission rate in the ode model wang et al in bull math biol 8457 2022 in this paper we extend the method to the postvaccination period accordingly obtain a retrospective forecast of covid19 daily confirmed cases in the us and identify the relative influence of the policies used as the predictor variables in particular our ode model contains both partially and fully vaccinated compartments and accounts for the breakthrough cases that is vaccinated individuals can still get infected our results indicate that the inclusion of data on nonpharmaceutical interventions can significantly improve the accuracy of the predictions with the use of policy data the model predicts the number of daily infected cases up to 35 days in the future with an average mean absolute percentage error of formula see text which is further improved to formula see text if combined with human mobility data moreover the most influential predictor variables are the policies of restrictions on gatherings testing and school closing the modeling approach used in this work can help policymakers design control measures as variant strains threaten public health in the future,PMC9297284,35857207,0.7173959016799927
attentionbased recurrent neural network for influenza epidemic prediction,background influenza is an infectious respiratory disease that can cause serious public health hazard due to its huge threat to the society precise realtime forecasting of influenza outbreaks is of great value to our public results in this paper we propose a new deep neural network structure that forecasts a realtime influenzalike illness rate ili in guangzhou china long shortterm memory lstm neural networks is applied to precisely forecast accurateness due to the longterm attribute and diversity of influenza epidemic data we devise a multichannel lstm neural network that can draw multiple information from different types of inputs we also add attention mechanism to improve forecasting accuracy by using this structure we are able to deal with relationships between multiple inputs more appropriately our model fully consider the information in the data set targetedly solving practical problems of the guangzhou influenza epidemic forecasting conclusion we assess the performance of our model by comparing it with different neural network structures and other stateoftheart methods the experimental results indicate that our model has strong competitiveness and can provide effective realtime influenza epidemic forecasting,PMC6876090,31760945,0.7252159118652344
comparative evaluation of time series models for predicting influenza outbreaks application of influenzalike illness data from sentinel sites of healthcare centers in iran,objective forecasting the time of future outbreaks would minimize the impact of diseases by taking preventive steps including public health messaging and raising awareness of clinicians for timely treatment and diagnosis the present study investigated the accuracy of support vector machine artificial neuralnetwork and randomforest time series models in influenza like illness ili modeling and outbreaks detection the models were applied to a data set of weekly ili frequencies in iran the root mean square errors rmse mean absolute errors mae and intraclass correlation coefficient icc statistics were employed as evaluation criteria results it was indicated that the randomforest time series model outperformed other three methods in modeling weekly ili frequencies rmse  2278 mae  1499 and icc  088 for the test set in addition neuralnetwork was better in outbreaks detection with total accuracy of 0889 for the test set the results showed that the used time series models had promising performances suggesting they could be effectively applied for predicting weekly ili frequencies and outbreaks,PMC6591835,31234938,0.7191373109817505
nearterm forecasts of influenzalike illness an evaluation of autoregressive time series approaches,seasonal influenza in the united states is estimated to cause 935 million illnesses annually with resultant economic burden amounting to 47150 billion reliable realtime forecasts of influenza can help public health agencies better manage these outbreaks here we investigate the feasibility of three autoregressive methods for nearterm forecasts an autoregressive integrated moving average arima model with timevarying order an arima model fit to seasonally adjusted incidence rates arimastl and a feedforward autoregressive artificial neural network with a single hidden layer arnn we generated retrospective forecasts for influenza incidence one to four weeks in the future at us national and 10 regions in the us during 5 influenza seasons we compared the relative accuracy of the point and probabilistic forecasts of the three models with respect to each other and in relation to two large external validation sets that each comprise at least 20 other models both the probabilistic and point forecasts of arnn were found to be more accurate than those of the other two models overall an additional subanalysis found that the three models benefitted considerably from the use of search trends based nowcast as a proxy for surveillance data and these three models with use of nowcasts were found to be the highest ranked models in both validation datasets when the nowcasts were withheld the three models remained competitive relative to models in the validation sets the difference in accuracy among the three models and relative to models of the validation sets was found to be largely statistically significant our results suggest that autoregressive models even when not equipped to capture transmission dynamics can provide reasonably accurate nearterm forecasts for influenza existing support in opensource libraries make them suitable nonnaïve baselines for model comparison studies and for operational forecasts in resource constrained settings where more sophisticated methods may not be feasible,,30792135,0.7254034280776978
prediction of influenzalike illness based on the improved artificial tree algorithm and artificial neural network,because influenza is a contagious respiratory illness that seriously threatens public health accurate realtime prediction of influenza outbreaks may help save lives in this paper we use the twitter data set and the united states centers for disease controls influenzalike illness ili data set to predict a nearly realtime regional unweighted percentage ili in the united states by use of an artificial neural network optimized by the improved artificial tree algorithm the results show that the proposed method is an efficient approach to realtime prediction,PMC5861130,29559649,0.7009620666503906
a micropopulational modelling of a viral epidemic by using a special neural network,a general forward neural network was adapted for a simulation of viral epidemics this involves the introduction of a strongly dependence upon history upon the cumulated values of the corresponding neuron individual activations states of infection specifying the activation health states of the contaminated individuals represented by the activated neurons and the dynamic parameters of the neural network the matrix of the synaptic connection and the vector of the activation thresholds corresponding to the matrix of the viral transfers between the various individuals and to the vector of the minimal individual contamination doses of virus the recurrence relations and the learning procedures were also adapted to these processes this methodology was used for the study of the micropopulational spreading of viral epidemics in various epidemiological situations,,10724978,0.7003656625747681
spatialtemporal diffusion model of aggregated infectious diseases based on population life characteristics a case study of covid19,outbreaks of infectious diseases pose significant threats to human life and countries around the world need to implement more precise prevention and control measures to contain the spread of viruses in this study we propose a spatialtemporal diffusion model of infectious diseases under a discrete grid based on the time series prediction of infectious diseases to model the diffusion process of viruses in population this model uses the estimated outbreak origin as the center of transmission employing a treelike structure of daily human travel to generalize the process of viral spread within the population by incorporating diverse data it simulates the congregation of people thus quantifying the flow weights between grids for population movement the model is validated with some chinese cities with covid19 outbreaks and the results show that the outbreak point estimation method could better estimate the virus transmission center of the epidemic the estimated location of the outbreak point in xian was only 0965 km different from the actual one and the results were more satisfactory the spatiotemporal diffusion model for infectious diseases simulates daily newly infected areas which effectively cover the actual patient infection zones on the same day during the midstage of viral transmission the coverage rate can increase to over 90 compared to related research this method has improved simulation accuracy by approximately 18 this study can provide technical support for epidemic prevention and control and assist decisionmakers in developing more scientific and efficient epidemic prevention and control policies,,37501479,0.7003217935562134
